sigma12,sigma21,scenario
1.0215416246760853,0.9239856703709369,Neutral
1.0353319964603394,0.933641779578718,Neutral
1.0745080948086188,0.9349209011094226,Neutral
1.002943586050891,1.013908794827453,Neutral
0.9505371094134101,0.9610543782632832,Neutral
0.9590124196638788,0.9688693034683126,Neutral
0.9853555977332873,1.0395708465254003,Neutral
0.9681627864711204,1.0222400688644797,Neutral
0.9708856119927404,1.0435518870541634,Neutral
0.9926327422366267,1.0234519977335839,Neutral
1.0620591482458093,0.9424176140052901,Neutral
1.031384378704728,0.9693661926172735,Neutral
1.0536106566385652,0.9904612216292358,Neutral
1.0339625801545875,0.9838573284197674,Neutral
1.012162527071293,1.0064220209065315,Neutral
1.0164396431801783,0.9978276222032825,Neutral
1.089341405815181,0.9300301649723038,Neutral
1.0940971057504105,0.8959236281673535,Neutral
1.1259362282865666,0.9279001230989077,Neutral
0.9569326863555548,0.9887222698965193,Neutral
0.9570446978107808,1.0323116594926978,Neutral
0.9723684433737008,1.0325899454306282,Neutral
1.0154922901216956,0.9948336814594069,Neutral
1.0030051891217957,0.978668965681251,Neutral
0.9726564555549452,1.0049012465151723,Neutral
1.025067091417531,0.9959989413837931,Neutral
1.0270936311517869,1.0130227958303708,Neutral
1.0314119028943667,0.9536564948635998,Neutral
1.0911418381470666,1.0028246723527672,Neutral
0.8777367221220825,1.0636059713500954,Neutral
0.9578163415336536,1.1178371355556984,Neutral
0.9517902293875075,1.113282927882207,Neutral
0.9263821395442612,1.083308053581238,Neutral
1.0260168508706666,0.9474280085187766,Neutral
1.026387601905231,0.9785055276208929,Neutral
1.0669315047624288,0.9733696250880336,Neutral
1.0574984735572643,0.9661151560548511,Neutral
1.0347697210411286,0.9858684244166357,Neutral
0.9975358875653667,1.0182326784928515,Neutral
0.9953065322274941,0.9537513732229987,Neutral
1.0312234099560125,0.9716003640787509,Neutral
1.042698896133372,0.9436405505000157,Neutral
1.1216752649976223,0.9073925721475411,Neutral
1.1337247040315555,0.8967449740908401,Neutral
1.1391563300931837,0.8925137389914931,Neutral
1.1486633879705859,0.8709871105900466,Neutral
1.1428208820701564,0.8745091633882857,Neutral
1.1140317410380376,0.9360913830854479,Neutral
0.9914439106186089,0.9728725707736715,Neutral
1.016098589091744,0.9963452560923113,Neutral
1.1053985201136034,0.9599956915469505,Neutral
1.0889482642691584,0.9802043312807743,Neutral
0.9924883902946413,0.9645768789187027,Neutral
0.9841196352750522,0.964702966588251,Neutral
1.1042590803811165,0.9400998747830341,Neutral
1.0712953639180318,0.9579947743364691,Neutral
0.9957925616944999,0.9746526243287092,Neutral
1.0155069923557243,0.9800757548339085,Neutral
0.999525625835446,0.9851334366901676,Neutral
1.0827462472361025,0.9751296663733158,Neutral
1.0976212385768425,0.9580620501173326,Neutral
1.0360970683319235,0.9504969912496849,Neutral
1.0258814481055867,0.9269878154451165,Neutral
1.0530314444553224,0.9864997538748763,Neutral
1.0291907790227786,1.0018701901904765,Neutral
1.026805274290758,0.975207124744052,Neutral
1.0403673011255992,0.9991020334053263,Neutral
1.0679088700316055,0.9711127056453035,Neutral
1.058384974476102,0.9977177262409183,Neutral
1.0945145000367131,0.9699644820893433,Neutral
1.1160408321003132,0.9332330883136944,Neutral
1.115280008303434,0.9398637096375075,Neutral
1.043075422988933,0.9595933912095873,Neutral
1.0238740554267198,0.9514707393462107,Neutral
1.0353742410163898,0.9386162556107082,Neutral
1.0331956847760393,0.9450568911937106,Neutral
1.03588517937758,0.9462158936030594,Neutral
1.0013669881870566,0.9938078087946859,Neutral
1.0493987438441381,0.942349641177796,Neutral
1.1535697251597123,0.8812629712842894,Neutral
1.1070228567472535,0.9403426243432085,Neutral
1.0252936863179118,0.940466940625804,Neutral
1.016555357721402,0.9580936322647169,Neutral
1.0507838930951572,0.9851870119357844,Neutral
1.0171024875577257,0.9688456484000904,Neutral
1.014784916169139,0.9690859133407582,Neutral
1.0112731682586893,0.9801040622050603,Neutral
1.0906331130319065,0.899780469784345,Neutral
1.0438641972017833,0.956867400308724,Neutral
1.0836749928430933,0.9079537926439432,Neutral
1.081055736764791,0.9522051340498267,Neutral
1.0790727040693382,0.9041551692566963,Neutral
1.0637705819497087,0.9471179882182997,Neutral
1.0818718659428157,0.9172549152760218,Neutral
1.1344414447772941,0.8866128300583851,Neutral
1.185903902037587,0.8694763726402208,Neutral
1.2089574576132065,0.8526947385110517,Neutral
1.1503271647830082,0.8644576714414607,Neutral
1.1665789100772508,0.8652651012985071,Neutral
1.0889854421107985,0.9365968034246128,Neutral
1.066272754653364,0.917253605940896,Neutral
1.1022487575097148,0.8718102868686953,Neutral
1.2268238199746544,0.841626793686403,Neutral
0.9770341400809095,1.0119203115074382,Neutral
0.960018970464843,1.0512678267996574,Neutral
0.9986924693215079,1.0644162169492095,Neutral
